Label,Score
Product_Design_And_Lifecycle_Management,1330.9032707884908
Customer_Welfare,251.3617843654938
Competitive_Behavior,124.91602441505529
Energy_Management,79.93918128142832
Supply_Chain_Management,57.807251796883065
Product_Quality_And_Safety,45.948554337606765
Selling_Practices_And_Product_Labeling,38.386563858774025
Business_Model_Resilience,33.162694213096984
Systemic_Risk_Management,29.265779049543198
GHG_Emissions,26.34123727295082
Waste_And_Hazardous_Materials_Management,23.921592356055044
Ecological_Impacts,21.911456181376707
Water_And_Wastewater_Management,20.095806590863504
Customer_Privacy,18.52772027743049
Management_Of_Legal_And_Regulatory_Framework,17.074623535678256
Business_Ethics,15.765491380909225
Employee_Health_And_Safety,14.591791745391674
Access_And_Affordability,13.450346291559981
Data_Security,12.41594818449812
Human_Rights_And_Community_Relations,11.41423704175395
Critical_Incident_Risk_Management,10.48754276134423
Director_Removal,9.637943782436196
Employee_Engagement_Inclusion_And_Diversity,8.790502926902263
Physical_Impacts_Of_Climate_Change,7.83663824335963
Air_Quality,6.71077514544595
Labor_Practices,5.335243322319002
