Label,Score
Energy_Management,687.0982870236039
Management_Of_Legal_And_Regulatory_Framework,125.27455846732482
Business_Model_Resilience,61.19258452008944
Water_And_Wastewater_Management,40.26955301820999
Access_And_Affordability,30.673331914586015
Data_Security,25.0278668453102
Critical_Incident_Risk_Management,21.17815357405925
Air_Quality,18.38557770004263
Ecological_Impacts,16.325355177628808
Product_Design_And_Lifecycle_Management,14.81047324789688
Customer_Welfare,13.50618697993923
Physical_Impacts_Of_Climate_Change,12.38651374343317
Competitive_Behavior,11.400400809186976
Employee_Health_And_Safety,10.409162362688221
Human_Rights_And_Community_Relations,9.64453703747131
Systemic_Risk_Management,8.924953785317484
GHG_Emissions,8.280432943283813
Selling_Practices_And_Product_Labeling,7.725625197723275
Product_Quality_And_Safety,7.1787594822235405
Waste_And_Hazardous_Materials_Management,6.598261972278124
Employee_Engagement_Inclusion_And_Diversity,6.0409880200750194
Customer_Privacy,5.50101580566843
Director_Removal,4.979094506939873
Supply_Chain_Management,4.42191578092752
Labor_Practices,3.810812942130724
Business_Ethics,2.9555989632208366
